id,Class
4,C
6,C
9,E
10,C
12,A
13,N
14,N
16,C
20,C
22,N
23,N
24,O
25,O
26,E
29,A
30,N
31,O
32,N
34,N
36,C
38,N
39,C
40,C
42,N
43,N
44,N
47,C
48,N
50,E
52,E
53,N
54,E
58,E
59,N
61,A
63,E
65,O
66,E
67,N
68,E
69,C
70,E
71,E
73,N
75,N
76,N
79,A
80,E
85,E
86,E
88,E
89,E
93,N
94,E
95,O
96,N
97,N
98,E
99,N
100,N
102,C
103,E
104,E
107,N
110,N
112,N
114,C
115,A
117,O
118,C
119,E
120,E
123,N
124,C
126,E
127,N
128,N
130,E
131,N
132,C
133,N
134,A
135,C
136,C
138,A
141,N
143,E
144,N
145,N
146,C
147,C
150,E
151,C
152,N
155,N
156,E
158,E
160,E
163,E
164,O
165,N
166,A
170,O
173,O
174,N
175,N
177,E
181,N
183,N
184,N
186,C
187,E
188,A
189,C
190,N
191,O
192,C
194,C
196,A
197,C
198,O
203,N
204,E
205,N
206,C
207,C
208,N
210,C
212,C
214,A
219,C
220,C
222,A
224,E
225,E
227,E
229,O
230,E
231,E
233,C
235,E
236,O
238,N
242,N
243,C
245,N
246,C
247,O
248,N
251,C
252,A
253,A
255,C
256,A
258,C
259,C
260,C
264,N
266,E
269,N
270,N
272,N
275,C
279,N
280,A
281,N
282,A
288,E
297,N
298,E
301,E
302,E
306,E
307,E
308,O
309,E
310,O
311,E
312,E
314,N
319,A
320,N
322,C
324,C
325,O
328,O
329,N
330,N
332,E
335,N
337,E
338,E
339,E
340,N
341,N
342,C
343,A
345,N
347,E
348,N
351,N
352,C
355,C
356,E
358,O
363,N
364,N
365,O
367,O
368,C
369,N
371,E
373,O
375,C
376,C
377,E
378,C
381,C
382,A
385,E
386,E
387,C
388,A
393,C
395,N
398,N
400,C
402,E
406,C
408,N
413,N
414,N
415,O
416,C
417,E
420,N
421,C
423,C
424,C
425,C
427,C
430,E
432,C
437,N
439,N
440,O
441,O
442,E
443,N
445,E
447,E
448,C
450,C
451,C
452,C
453,C
455,A
456,O
457,O
458,A
460,C
464,E
466,C
467,A
468,N
469,O
470,C
472,C
473,C
474,A
477,E
478,N
479,C
480,C
481,C
483,C
484,E
485,N
486,C
487,N
488,N
489,E
490,E
491,E
492,C
495,N
498,C
499,N
505,N
506,C
507,N
512,C
513,E
514,N
515,C
516,O
517,C
518,A
519,C
520,O
521,C
530,N
531,O
532,E
536,N
538,C
542,N
543,E
544,C
545,A
546,E
547,N
548,O
549,C
550,N
551,C
552,E
553,C
554,N
555,O
556,N
557,N
558,E
559,N
562,O
565,N
567,C
568,E
569,O
570,E
571,C
572,N
575,N
577,E
578,N
580,E
581,E
582,C
583,N
586,O
587,C
589,E
590,O
591,E
593,C
596,C
597,E
598,A
600,E
601,C
603,A
606,A
609,C
612,E
613,E
616,N
617,A
618,E
619,N
620,N
621,E
623,C
625,C
626,C
631,C
632,A
633,C
634,A
638,C
641,E
642,C
643,N
646,C
647,C
648,C
650,E
653,N
655,C
657,O
659,C
660,N
661,N
662,N
664,N
667,N
668,E
674,A
675,N
676,C
677,A
679,N
680,O
681,C
682,N
683,E
684,E
686,C
688,A
689,E
690,N
692,N
702,C
706,E
708,E
711,E
712,N
714,N
715,N
717,C
718,C
720,E
722,N
723,C
725,C
729,E
730,C
736,N
738,N
741,O
744,E
745,N
746,C
747,E
748,E
751,E
754,A
756,E
757,C
758,N
759,E
760,C
761,E
762,N
763,O
764,E
765,E
767,E
768,O
771,C
773,A
774,N
776,O
777,E
779,C
781,E
782,N
785,O
786,A
789,N
790,N
791,O
793,N
794,C
798,C
802,A
803,E
805,N
807,E
808,N
809,N
810,E
811,O
812,O
813,C
814,N
816,N
817,E
818,E
819,C
820,N
823,O
825,C
827,E
828,N
829,E
831,N
832,N
833,C
834,N
836,E
837,O
838,C
843,N
847,C
850,N
853,N
854,C
855,A
856,N
859,C
860,O
861,C
862,C
863,N
865,E
866,N
867,C
868,C
869,N
870,E
871,N
872,C
874,A
875,C
879,E
880,A
881,A
882,A
884,C
885,C
887,A
888,N
890,C
893,E
894,C
895,N
896,A
898,E
899,N
901,N
902,C
903,N
904,C
905,N
910,N
912,N
915,C
916,C
918,E
920,E
921,E
922,A
923,E
926,E
928,N
930,E
931,N
932,A
933,C
935,N
938,E
939,C
940,C
943,C
944,N
945,C
947,E
948,E
950,N
952,E
954,C
956,C
957,N
958,E
960,N
961,O
962,N
964,C
965,C
966,C
968,O
969,C
971,C
972,N
974,C
979,E
981,O
982,E
984,O
987,C
988,E
989,C
990,O
991,E
992,C
993,C
1000,O
1003,N
1004,A
1006,N
1009,E
1010,C
1011,C
1012,N
1014,N
1015,O
1016,N
1017,C
1018,A
1022,N
1023,C
1025,N
1028,C
1030,O
1031,C
1032,C
1033,N
1034,E
1035,O
1038,N
1040,N
1041,C
1042,A
1043,E
1044,N
1045,C
1047,C
1049,O
1051,C
1054,N
1055,E
1057,A
1058,C
1062,N
1063,E
1065,A
1068,N
1069,O
1070,C
1071,C
1072,C
1073,N
1074,N
1076,C
1079,E
1080,E
1083,C
1084,N
1085,E
1086,C
1093,N
1094,N
1095,C
1096,C
1099,C
1100,C
1101,A
1105,A
1106,C
1107,N
1108,E
1109,O
1112,O
1113,N
1114,A
1116,O
1117,C
1118,E
1119,N
1121,A
1124,N
1129,C
1131,N
1132,C
1134,C
1136,O
1137,A
1140,E
1142,E
1145,E
1149,O
1150,N
1152,A
1153,C
1154,O
1155,A
1156,E
1157,O
1158,C
1159,N
1160,N
1161,E
1163,N
1164,E
1165,N
1166,E
1169,N
1171,C
1172,A
1173,E
1174,N
1175,N
1178,C
1179,E
1180,C
1181,E
1182,A
1183,E
1184,N
1185,C
1188,O
1189,O
1191,E
1194,C
1196,A
1197,E
1199,A
1201,C
1203,E
1205,A
1206,A
1207,E
1211,N
1212,N
1214,C
1216,C
1217,E
1219,O
1220,E
1221,C
1223,E
1227,N
1228,O
1229,N
1230,E
1231,C
1234,A
1236,N
1237,E
1238,N
1239,C
1240,C
1241,C
1242,E
1243,C
1245,N
1246,E
1248,N
1249,E
1251,E
1252,E
1253,E
1254,E
1255,C
1256,C
1257,E
1258,E
1259,N
1260,E
1261,E
1262,N
1264,N
1265,E
1270,E
1273,N
1275,N
1276,C
1277,E
1279,O
1281,C
1283,C
1285,O
1286,N
1288,C
1289,N
1291,E
1292,O
1293,N
1294,N
1296,N
1297,E
1298,E
1301,N
1303,E
1304,C
1305,N
1306,E
1307,C
1308,E
1310,A
1311,C
1313,N
1317,C
1318,C
1321,E
1323,E
1324,E
1327,A
1328,N
1329,C
1330,A
1331,C
1332,C
1333,E
1335,E
1337,E
1338,N
1339,E
1340,A
1343,E
1345,C
1347,C
1348,A
1349,C
1350,E
1352,N
1357,N
1359,A
1360,N
1361,C
1364,E
1367,E
1368,A
1369,C
1370,C
1372,O
1374,A
1375,A
1378,E
1379,C
1380,N
1381,C
1382,N
1383,N
1384,N
1385,A
1386,N
1389,C
1391,E
1392,N
1397,N
1398,C
1399,C
1401,N
1402,C
1403,A
1404,N
1405,N
1407,E
1408,A
1411,E
1412,E
1414,N
1416,N
1418,C
1419,E
1420,A
1423,C
1424,N
1425,C
1426,N
1428,O
1429,O
1430,C
1432,A
1433,N
1434,N
1435,C
1436,E
1437,N
1442,N
1443,N
1444,E
1445,O
1446,E
1447,N
1448,E
1449,A
1450,C
1451,O
1454,N
1456,C
1457,N
1460,C
1461,N
1462,N
1463,C
1464,C
1465,A
1468,O
1470,A
1471,E
1472,A
1473,N
1474,E
1475,E
1476,E
1478,A
1479,N
1480,C
1481,E
1483,E
1484,A
1488,E
1490,E
1492,O
1494,C
1496,O
1497,A
1500,E
1501,N
1502,E
1507,N
1512,E
1513,A
1515,E
1516,C
1517,C
1518,E
1519,N
1520,N
1521,C
1523,E
1527,N
1528,E
1529,C
1531,C
1533,C
1534,E
1537,E
1538,E
1539,C
1540,C
1541,C
1542,O
1544,C
1548,N
1549,C
1550,N
1553,N
1554,C
1560,C
1561,C
1562,N
1563,E
1565,N
1566,A
1567,C
1568,C
1569,O
1570,N
1571,E
1575,N
1577,E
1578,N
1579,E
1583,E
1585,N
1588,C
1592,E
1593,C
1595,O
1598,E
1600,C
1601,E
1602,E
1604,A
1605,C
1606,C
1611,C
1612,N
1616,A
1618,E
1619,O
1620,N
1624,C
1625,N
1626,E
1627,C
1629,C
1632,N
1633,C
1635,O
1638,N
1640,N
1641,N
1646,O
1647,E
1648,O
1649,E
1650,E
1652,N
1653,E
1654,E
1655,N
1659,E
1660,N
1661,E
1662,E
1663,N
1668,E
1669,E
1671,N
1676,C
1680,E
1681,O
1682,N
1683,E
1684,N
1688,N
1689,C
1690,C
1693,O
1696,A
1698,N
1700,C
1703,N
1705,C
1706,E
1707,N
1708,C
1709,C
1710,N
1712,N
1713,O
1714,N
1716,C
1718,E
1719,A
1720,C
1721,N
1723,E
1727,E
1728,C
1730,A
1731,E
1732,O
1733,N
1734,E
1735,N
1736,O
1738,A
1740,C
1742,N
1743,E
1744,E
1745,E
1746,N
1747,E
1748,C
1751,A
1752,A
1753,E
1754,N
1756,N
1757,A
1758,A
1760,C
1763,O
1764,O
1766,E
1767,O
1768,N
1771,N
1772,C
1773,E
1774,A
1775,N
1776,E
1777,N
1778,E
1779,N
1781,C
1782,A
1785,A
1786,C
1788,E
1790,E
1791,C
1792,E
1793,C
1799,N
1800,N
1801,C
1802,N
1803,C
1804,O
1806,N
1807,N
1808,N
1809,E
1810,C
1812,N
1814,C
1815,N
1816,E
1817,N
1818,E
1819,E
1820,O
1821,N
1823,N
1824,N
1825,C
1827,N
1830,C
1832,E
1833,O
1834,N
1839,E
1840,O
1842,N
1843,C
1845,E
1846,C
1848,O
1850,E
1852,E
1853,E
1854,N
1855,C
1856,C
1857,C
1858,E
1859,C
1863,N
1864,O
1865,C
1866,C
1867,N
1868,E
1872,A
1873,C
1874,E
1876,C
1878,O
1882,C
1885,E
1887,C
1888,N
1890,C
1891,N
1893,C
1894,C
1895,N
1897,C
1898,C
1899,C
1901,N
1903,C
1906,N
1907,N
1911,E
1914,A
1916,C
1920,N
1927,E
1928,C
1929,N
1930,C
1938,A
1941,N
1942,N
1943,C
1946,C
1947,C
1948,C
1950,C
